id,codigo,nombre,estado,municipio,region,cantidad_postes,fecha_autorizacion
vgt_2023_p_1630,VGT-2023-P-1630,"PROYECTO TRONCAL ZEA - TOVAR  EDO. MÉRIDA,",MERIDA,TOVAR - ZEA,andes,134,2023-12-11
vgt_2023_p_399,VGT-2023-P-399,NUEVO EMPLAZAMIENTO BOCONOITO,PORTUGUESA,SAN GENARO DE BOCONOITO,andes,466,2023-06-02
vgt_2023_p_483,VGT-2023-P-483,PROYECTO ZONA ESTE GUANARE,PORTUGUESA,GUANARE,andes,769,2023-06-12
vgt_2023_p_485,VGT-2023-P-485,NUEVO EMPLAZAMIENTO CHABASQUEN,PORTUGUESA,VICENTE DE UNDA,andes,162,2023-07-13
vgt_2023_p_482,VGT-2023-P-482,MUDANZA TRONCAL OFICINA HEAD END GUANARE,PORTUGUESA,GUANARE,andes,59,2023-06-12
vgt_2023_p_486,VGT-2023-P-486,NUEVO EMPLAZAMIENTO ACARIGUA TRONCAL MOVISTAR (CENTRO),PORTUGUESA,PAEZ,andes,29,2023-07-27
vgt_2023_p_488,VGT-2023-P-488,NUEVO EMPLAZAMIENTO TRONCAL BISCUCUY VALLE VERDE,PORTUGUESA,SUCRE,andes,386,2023-07-27
vgt_2023_p_316,VGT-2023-P-316,TENDIDO DE FIBRA OPTICA ACARIGUA OSPINO,PORTUGUESA,ACARIGUA,andes,948,2023-05-17
vgt_2023_p_923,VGT-2023-P-923,SECTOR PALO GORDO-HIPERPDVAL ACARIGUA,PORTUGUESA,ACARIGUA ARAURE,andes,62,2023-11-24
vgt_2023_p_932,VGT-2023-P-932,SECTOR HIPERPDVAL-CUERPO DE BOMBEROS ACARIGUA,PORTUGUESA,,andes,141,2023-11-24
vgt_2023_p_957,VGT-2023-P-957,PROYECTO NUEVO OSPINO-ACARIGUA,PORTUGUESA,OSPINO,andes,101,2023-10-09
vgt_2023_p_487,VGT-2023-P-487,NUEVO EMPLAZAMIENTO TRONCAL THUNDERTNET F CORTEZA,PORTUGUESA,PAEZ,andes,89,2023-07-27
vgt_2023_p_949,VGT-2023-P-949,TENDIDO DE FIBRA ÓPTICA SECTOR VALLE VERDE - GUANARE,PORTUGUESA,SUCRE,andes,55,2023-10-17
vgt_2023_p_1154,VGT-2023-P-1154,ZONA CENTRO GUANARE,PORTUGUESA,GUANARE,andes,418,2023-10-24
vgt_2023_p_845,VGT-2023-P-845,"PROYECTO LAS CRUCES, PORTUGUESA",PORTUGUESA,SUCRE,andes,106,2023-12-04
vgt_2023_p_1257,VGT-2023-P-1257,PROYECTO BARRIO LIBERTADOR GUANARE,PORTUGUESA,GUANARE,andes,38,2023-12-04
vgt_2023_p_1344,VGT-2023-P-1344,PROYECTO SECTOR CUATRICENTENARIO SECTOR 4,PORTUGUESA,,andes,25,2023-12-04
vgt_2023_p_1302,VGT-2023-P-1302,PROYECTO SECTOR GRACIANERA,PORTUGUESA,,andes,66,2023-12-04
vgt_2023_p_1291,VGT-2023-P-1291,PROYECTO SECTOR FUNDA GUANARE,PORTUGUESA,,andes,81,2023-12-04
vgt_2023_p_847,VGT-2023-P-847,PROYECTO TRONCAL MESA DE CAVACA LAS CRUCES,PORTUGUESA,CARRETERA NACIONAL BOCONO GUANARE (GUANARE),andes,378,2023-12-04
vgt_2023_p_970,VGT-2023-P-970,"TENDIDO DE FIBRA OPTICA SECTORES LA CARMELO, LA CONCORDIA MAISANTA",PORTUGUESA,PAEZ,andes,256,2024-01-24
